Dec 24 02:53:45.009 INFO: manager: 1.2.2
Dec 24 02:53:45.009 INFO: manager: Copyright (C) 2003-2020, Noriaki Ando and OpenRTM development team,
Dec 24 02:53:45.009 INFO: manager:   Intelligent Systems Research Institute, AIST,
Dec 24 02:53:45.009 INFO: manager: Copyright (C) 2020, Noriaki Ando and OpenRTM development team,
Dec 24 02:53:45.009 INFO: manager:   Industrial Cyber-Physical Research Center, AIST,
Dec 24 02:53:45.009 INFO: manager:   All right reserved.
Dec 24 02:53:45.009 INFO: manager: Manager starting.
Dec 24 02:53:45.009 INFO: manager: Starting local logging.
Dec 24 02:53:45.011 INFO: NamingManager: NameServer connection failed: corba/localhost
Dec 24 02:53:45.012 INFO: ManagerServant: Named manager reference (INS) was successfully created.
Dec 24 02:53:45.012 WARNING: ManagerServant: Master manager not found
Dec 24 02:53:45.012 INFO: LocalServiceAdmin: All the local services are enabled.
Dec 24 02:53:45.013 INFO: ec_base: setRate(1000000.000000) done
Dec 24 02:53:45.013 INFO: ec_base: setRate(1000.000000) done
Dec 24 02:53:45.014 INFO: ImageSubtraction0: 1 execution context was created.
Dec 24 02:53:45.014 INFO: ImageSubtraction0: Initial active configuration set is default.
Dec 24 02:53:55.079 INFO: NamingManager: NameServer connection failed: corba/localhost
Dec 24 02:53:55.080 INFO: ManagerServant: Master manager not found
Dec 24 02:54:05.158 INFO: NamingManager: NameServer connection failed: corba/localhost
Dec 24 02:54:05.159 INFO: ManagerServant: Master manager not found
Dec 24 02:54:15.255 INFO: NamingManager: NameServer connection failed: corba/localhost
Dec 24 02:54:15.256 INFO: ManagerServant: Master manager not found
Dec 24 02:54:25.325 INFO: NamingManager: NameServer connection failed: corba/localhost
Dec 24 02:54:25.325 INFO: ManagerServant: Master manager not found
Dec 24 02:54:35.429 INFO: NamingManager: NameServer connection failed: corba/localhost
Dec 24 02:54:35.430 INFO: ManagerServant: Master manager not found
Dec 24 02:54:45.485 INFO: NamingManager: NameServer connection failed: corba/localhost
Dec 24 02:54:45.486 INFO: ManagerServant: Master manager not found
Dec 24 02:54:55.574 WARNING: NamingOnCorba: No endpoint for the CORBA naming service (localhost) was found.
Dec 24 02:54:55.574 INFO: NamingManager: NameServer connection succeeded: corba/localhost
Dec 24 02:54:55.574 INFO: NamingManager: Connected to a name server: corba/localhost
Dec 24 02:54:55.575 INFO: ManagerServant: Master manager not found
Dec 24 02:55:05.648 INFO: ManagerServant: Master manager not found
Dec 24 02:55:11.109 WARNING: SdoServiceAdmin: No available SDO service in the factory: 
Dec 24 02:55:15.716 INFO: ManagerServant: Master manager not found
Dec 24 02:55:25.782 INFO: ManagerServant: Master manager not found
Dec 24 02:55:35.830 INFO: ManagerServant: Master manager not found
Dec 24 02:55:45.888 INFO: ManagerServant: Master manager not found
Dec 24 02:55:59.470 INFO: ManagerServant: Master manager not found
Dec 24 02:56:09.494 INFO: ManagerServant: Master manager not found
Dec 24 02:56:19.518 INFO: ManagerServant: Master manager not found
Dec 24 02:56:29.546 INFO: ManagerServant: Master manager not found
Dec 24 02:56:39.577 INFO: ManagerServant: Master manager not found
Dec 24 02:56:49.603 INFO: ManagerServant: Master manager not found
Dec 24 02:56:59.636 INFO: ManagerServant: Master manager not found
Dec 24 02:57:09.667 INFO: ManagerServant: Master manager not found
Dec 24 02:57:19.697 INFO: ManagerServant: Master manager not found
Dec 24 02:57:29.729 INFO: ManagerServant: Master manager not found
Dec 24 02:57:39.759 INFO: ManagerServant: Master manager not found
Dec 24 02:57:49.790 INFO: ManagerServant: Master manager not found
Dec 24 02:57:59.815 INFO: ManagerServant: Master manager not found
Dec 24 02:58:09.836 INFO: ManagerServant: Master manager not found
Dec 24 02:58:24.320 INFO: ManagerServant: Master manager not found
Dec 24 02:58:34.357 INFO: ManagerServant: Master manager not found
Dec 24 02:58:44.380 INFO: ManagerServant: Master manager not found
Dec 24 02:58:54.411 INFO: ManagerServant: Master manager not found
Dec 24 02:59:06.467 INFO: ManagerServant: Master manager not found
Dec 24 02:59:16.503 INFO: ManagerServant: Master manager not found
Dec 24 02:59:26.553 INFO: ManagerServant: Master manager not found
Dec 24 02:59:36.591 INFO: ManagerServant: Master manager not found
Dec 24 02:59:46.627 INFO: ManagerServant: Master manager not found
Dec 24 02:59:56.688 INFO: ManagerServant: Master manager not found
Dec 24 03:00:06.740 INFO: ManagerServant: Master manager not found
Dec 24 03:00:16.801 INFO: ManagerServant: Master manager not found
Dec 24 03:00:26.855 INFO: ManagerServant: Master manager not found
Dec 24 03:00:36.895 INFO: ManagerServant: Master manager not found
Dec 24 03:00:46.929 INFO: ManagerServant: Master manager not found
Dec 24 03:00:56.975 INFO: ManagerServant: Master manager not found
Dec 24 03:01:07.036 INFO: ManagerServant: Master manager not found
Dec 24 03:01:17.084 INFO: ManagerServant: Master manager not found
Dec 24 03:01:27.132 INFO: ManagerServant: Master manager not found
Dec 24 03:01:37.195 INFO: ManagerServant: Master manager not found
Dec 24 03:01:47.250 INFO: ManagerServant: Master manager not found
Dec 24 03:01:57.312 INFO: ManagerServant: Master manager not found
Dec 24 03:02:07.372 INFO: ManagerServant: Master manager not found
Dec 24 03:02:17.424 INFO: ManagerServant: Master manager not found
Dec 24 03:02:27.475 INFO: ManagerServant: Master manager not found
Dec 24 03:02:37.533 INFO: ManagerServant: Master manager not found
Dec 24 03:02:47.592 INFO: ManagerServant: Master manager not found
Dec 24 03:02:57.649 INFO: ManagerServant: Master manager not found
Dec 24 03:03:07.708 INFO: ManagerServant: Master manager not found
Dec 24 03:03:17.763 INFO: ManagerServant: Master manager not found
Dec 24 03:03:27.833 INFO: ManagerServant: Master manager not found
Dec 24 03:03:37.890 INFO: ManagerServant: Master manager not found
Dec 24 03:03:47.928 INFO: ManagerServant: Master manager not found
Dec 24 03:03:57.977 INFO: ManagerServant: Master manager not found
Dec 24 03:04:08.047 INFO: ManagerServant: Master manager not found
Dec 24 03:04:18.115 INFO: ManagerServant: Master manager not found
Dec 24 03:04:28.173 INFO: ManagerServant: Master manager not found
Dec 24 03:04:38.230 INFO: ManagerServant: Master manager not found
Dec 24 03:04:48.268 INFO: ManagerServant: Master manager not found
Dec 24 03:04:58.315 INFO: ManagerServant: Master manager not found
Dec 24 03:05:08.377 INFO: ManagerServant: Master manager not found
Dec 24 03:05:18.435 INFO: ManagerServant: Master manager not found
Dec 24 03:05:28.487 INFO: ManagerServant: Master manager not found
Dec 24 03:05:38.546 INFO: ManagerServant: Master manager not found
Dec 24 03:05:48.596 INFO: ManagerServant: Master manager not found
Dec 24 03:05:58.651 INFO: ManagerServant: Master manager not found
Dec 24 03:06:08.692 INFO: ManagerServant: Master manager not found
Dec 24 03:06:18.736 INFO: ManagerServant: Master manager not found
Dec 24 03:06:28.797 INFO: ManagerServant: Master manager not found
Dec 24 03:06:38.876 INFO: ManagerServant: Master manager not found
Dec 24 03:06:48.919 INFO: ManagerServant: Master manager not found
Dec 24 03:06:58.986 INFO: ManagerServant: Master manager not found
Dec 24 03:07:09.045 INFO: ManagerServant: Master manager not found
Dec 24 03:07:19.103 INFO: ManagerServant: Master manager not found
Dec 24 03:07:29.152 INFO: ManagerServant: Master manager not found
Dec 24 03:07:39.207 INFO: ManagerServant: Master manager not found
Dec 24 03:07:49.262 INFO: ManagerServant: Master manager not found
Dec 24 03:07:59.339 INFO: ManagerServant: Master manager not found
Dec 24 03:08:09.390 INFO: ManagerServant: Master manager not found
